area_type,availability,location,bhk,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Marathahalli,3,1535.0,3.0,2.0,72.5
Plot  Area,Ready To Move,Banashankari,4,2400.0,3.0,2.0,370.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1250.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1187.0,2.0,3.0,52.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,2,1164.0,2.0,1.0,56.0
Super built-up  Area,18-May,Electronic City Phase II,3,1395.0,2.0,1.0,62.78
Super built-up  Area,18-Jul,Arekere,3,2072.0,3.0,2.0,108.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,1450.0,3.0,3.0,60.91
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1550.0,3.0,2.0,82.0
Super built-up  Area,19-Dec,Hebbal,4,3067.0,4.0,3.0,230.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075.0,2.0,1.0,47.0
Built-up  Area,Ready To Move,Kaggadasapura,3,1470.0,2.0,2.0,75.0
Built-up  Area,Ready To Move,Hosur Road,3,1590.0,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,1050.0,2.0,1.0,36.75
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1306.0,2.0,1.0,55.91
Built-up  Area,Ready To Move,Malleshwaram,3,2000.0,3.0,2.0,250.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1220.0,3.0,2.0,58.0
Plot  Area,Ready To Move,Sarjapur,4,3190.0,3.0,1.0,160.0
Super built-up  Area,18-May,Ramagondanahalli,2,1215.0,2.0,1.0,51.26
Built-up  Area,Ready To Move,Budigere,3,1920.0,2.0,1.0,88.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1390.0,2.0,2.0,60.0
Super built-up  Area,21-Jul,Hoodi,2,1196.0,2.0,0.0,71.74
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1550.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Thigalarapalya,2,1418.0,2.0,2.0,101.0
Built-up  Area,Ready To Move,KR Puram,2,1115.0,2.0,2.0,33.45
Super built-up  Area,Ready To Move,Anekal,2,1035.0,2.0,2.0,38.3
Super built-up  Area,Ready To Move,Singasandra,3,1306.0,2.0,2.0,58.0
Super built-up  Area,18-Dec,Kengeri,2,750.0,2.0,2.0,22.0
Super built-up  Area,Ready To Move,Thanisandra,3,1917.0,3.0,3.0,122.0
Super built-up  Area,Ready To Move,Kaggadasapura,3,1615.0,3.0,3.0,58.0
Super built-up  Area,Ready To Move,Marathahalli,2,1071.0,2.0,2.0,52.25
Super built-up  Area,Ready To Move,Koramangala,2,1325.0,2.0,2.0,119.0
Plot  Area,Ready To Move,Malleshwaram,7,3000.0,4.0,2.0,900.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3,1400.0,2.0,1.0,88.0
Super built-up  Area,21-Jan,Tumkur Road,2,1246.0,2.0,1.0,82.0
Built-up  Area,Ready To Move,Sarjapur,2,1215.0,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Munnekollal,2,1200.0,2.0,2.0,49.5
Super built-up  Area,Ready To Move,Kodigehaali,2,1200.0,2.0,2.0,60.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2,945.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Benson Town,4,4460.0,5.0,2.0,650.0
Super built-up  Area,Ready To Move,Hormavu,2,1175.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Whitefield,2,920.0,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Hosakerehalli,4,3024.0,5.0,1.0,350.0
Super built-up  Area,Ready To Move,Ardendale,3,1750.0,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Uttarahalli,3,1425.0,2.0,2.0,64.0
Super built-up  Area,Ready To Move,Basavangudi,3,2150.0,3.0,2.0,265.0
Super built-up  Area,20-Dec,Whitefield,2,1165.0,2.0,1.0,40.5
Super built-up  Area,Ready To Move,Kaggadasapura,2,1050.0,2.0,2.0,48.0
Super built-up  Area,18-Apr,Electronic City,3,1374.0,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Harlur,3,1754.0,3.0,2.0,124.0
Super built-up  Area,Ready To Move,Kothanur,3,1847.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1850.0,4.0,3.0,139.0
Plot  Area,18-May,Chikka Tirupathi,3,3297.0,3.0,1.0,135.0
Built-up  Area,18-Dec,Bommasandra Industrial Area,3,1400.0,2.0,1.0,40.44
Super built-up  Area,Ready To Move,Chamrajpet,2,1350.0,2.0,3.0,180.0
Plot  Area,Ready To Move,Doddaballapur,3,3000.0,2.0,2.0,120.0
Super built-up  Area,21-Dec,Thanisandra,1,693.0,1.0,1.0,34.3
Super built-up  Area,21-May,Dairy Circle,3,1980.0,3.0,2.0,224.0
Super built-up  Area,Ready To Move,KR Puram,2,1021.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Thigalarapalya,2,1165.0,2.0,2.0,95.0
Super built-up  Area,19-Mar,Horamavu Agara,3,1756.0,3.0,2.0,92.0
Super built-up  Area,Ready To Move,Bharathi Nagar,3,1739.0,3.0,1.0,105.0
Super built-up  Area,Ready To Move,Varthur,2,1280.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Marathahalli,2,1215.0,2.0,2.0,58.86
Super built-up  Area,18-Apr,Munnekollal,2,950.0,2.0,1.0,46.5
Built-up  Area,Ready To Move,Kengeri,3,1082.0,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Devanahalli,2,1080.0,2.0,0.0,53.35
Super built-up  Area,Ready To Move,Arekere,2,1100.0,2.0,2.0,55.0
Plot  Area,Ready To Move,Ardendale,4,3200.0,4.0,1.0,205.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1311.0,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1608.0,3.0,1.0,67.98
Super built-up  Area,Ready To Move,Begur Road,2,1160.0,2.0,2.0,36.0
Super built-up  Area,Ready To Move,Whitefield,2,1170.0,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Kengeri,2,1155.0,2.0,2.0,40.6
Super built-up  Area,18-Dec,Hebbal,3,1255.0,2.0,1.0,77.68
Super built-up  Area,Ready To Move,Rayasandra,2,1065.0,2.0,2.0,44.95
Super built-up  Area,Ready To Move,Neeladri Nagar,1,674.0,1.0,1.0,21.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1936.0,4.0,2.0,126.0
Super built-up  Area,18-Dec,Sarakki Nagar,3,2289.0,3.0,2.0,260.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3,2257.0,4.0,2.0,157.0
Super built-up  Area,Ready To Move,Nagarbhavi,2,1055.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1530.0,3.0,3.0,51.87
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1575.0,2.0,2.0,78.0
Built-up  Area,Ready To Move,Frazer Town,3,3500.0,4.0,2.0,330.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2,1263.0,2.0,1.0,93.32
Super built-up  Area,Ready To Move,KR Puram,3,1559.0,3.0,0.0,69.315
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,1043.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Hennur,2,1255.0,2.0,2.0,53.5
Super built-up  Area,18-Mar,JP Nagar,2,1352.5,2.0,0.0,93.865
Super built-up  Area,18-Dec,Chandapura,1,590.0,1.0,0.0,13.57
Plot  Area,Ready To Move,Yelahanka,3,1550.0,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1220.0,3.0,3.0,56.0
Super built-up  Area,20-Mar,8th Phase JP Nagar,3,1455.0,3.0,2.0,73.31
Built-up  Area,Ready To Move,KR Puram,2,1035.0,2.0,1.0,40.5
Super built-up  Area,Ready To Move,Harlur,2,1152.0,2.0,2.0,69.0
Super built-up  Area,Ready To Move,Bellandur,2,1299.0,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Rachenahalli,2,1050.0,2.0,2.0,52.5
Super built-up  Area,Ready To Move,Pai Layout,2,1050.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Vittasandra,2,1246.0,2.0,1.0,67.4
Super built-up  Area,Ready To Move,Hennur,2,1285.0,2.0,1.0,60.0
Plot  Area,Ready To Move,Margondanahalli,3,1200.0,2.0,0.0,65.0
Built-up  Area,Ready To Move,BTM 2nd Stage,3,1850.0,3.0,2.0,170.0
Built-up  Area,Ready To Move,Sompura,3,1025.0,2.0,0.0,37.0
Built-up  Area,Ready To Move,Malleshwaram,2,1124.0,3.0,2.0,80.0
Super built-up  Area,19-Dec,Balagere,2,1012.0,2.0,1.0,54.59
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,871.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Rachenahalli,3,1550.0,3.0,3.0,73.5
Super built-up  Area,Ready To Move,Akshaya Nagar,3,1410.0,2.0,2.0,80.0
Plot  Area,18-Dec,Chikka Tirupathi,4,3500.0,5.0,3.0,150.0
Super built-up  Area,18-Apr,Whitefield,2,1118.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Thanisandra,2,1098.0,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Kanakapura,2,1130.0,2.0,1.0,45.2
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1145.0,2.0,2.0,75.0
Plot  Area,Ready To Move,Kadugodi,3,950.0,3.0,1.0,80.0
Super built-up  Area,18-Apr,Marathahalli,2,1102.0,2.0,2.0,53.67
Super built-up  Area,Ready To Move,Jalahalli,2,1478.0,2.0,2.0,125.0
Carpet  Area,18-Dec,Hebbal,2,823.0,2.0,1.0,50.63
Super built-up  Area,21-Dec,Abbigere,2,880.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Budigere,3,1991.0,4.0,2.0,100.0
Built-up  Area,Ready To Move,TC Palaya,3,1100.0,3.0,1.0,50.0
Super built-up  Area,Ready To Move,Gubbalala,3,1745.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1450.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Singasandra,4,3366.0,4.0,2.0,120.0
Built-up  Area,Ready To Move,Sahakara Nagar,2,1150.0,2.0,1.0,54.0
Plot  Area,Ready To Move,Banashankari Stage VI,4,2200.0,4.0,2.0,195.0
Built-up  Area,Ready To Move,Bommanahalli,2,1090.0,3.0,2.0,44.0
Super built-up  Area,Ready To Move,Kaggadasapura,2,1132.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Hulimavu,2,1375.0,2.0,2.0,80.0
Plot  Area,Ready To Move,7th Phase JP Nagar,4,1500.0,5.0,3.0,220.0
Super built-up  Area,Ready To Move,Thanisandra,1,760.0,1.0,2.0,50.3
Super built-up  Area,Ready To Move,Kaggadasapura,2,1180.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Jigani,2,918.0,2.0,2.0,45.0
Built-up  Area,Ready To Move,Margondanahalli,2,1200.0,1.0,0.0,53.0
Super built-up  Area,Ready To Move,Ardendale,3,1728.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Malleshwaram,3,2215.0,3.0,1.0,275.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,1200.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1280.0,2.0,2.0,56.0
Super built-up  Area,20-Aug,Rachenahalli,1,440.0,1.0,0.0,28.0
Plot  Area,Ready To Move,Kanakpura Road,3,1500.0,3.0,2.0,97.0
Super built-up  Area,Ready To Move,Whitefield,3,1800.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Mysore Road,3,1525.0,3.0,2.0,96.0
Super built-up  Area,19-Dec,Old Madras Road,2,1225.0,2.0,1.0,53.55
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1650.0,3.0,2.0,122.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,1005.0,2.0,1.0,42.0
Super built-up  Area,20-Dec,Whitefield,3,1562.0,3.0,2.0,103.0
Built-up  Area,Ready To Move,Devanahalli,4,5000.0,5.0,2.0,395.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2,1200.0,2.0,3.0,42.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,1555.0,3.0,2.0,82.5
Plot  Area,Ready To Move,KR Puram,2,1550.0,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Whitefield,2,1190.0,2.0,2.0,67.0
Built-up  Area,Ready To Move,Chikkalasandra,2,1070.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Jalahalli East,2,1020.0,2.0,1.0,42.48
Super built-up  Area,Ready To Move,Yelahanka,3,1610.0,3.0,1.0,115.0
Super built-up  Area,Ready To Move,Hebbal,2,1420.0,2.0,1.0,123.0
Carpet  Area,18-Dec,Hebbal,3,1069.0,3.0,2.0,65.4
Super built-up  Area,Ready To Move,Marathahalli,3,1900.0,3.0,3.0,123.0
Super built-up  Area,18-May,Old Airport Road,2,1655.0,2.0,1.0,97.65
Super built-up  Area,Ready To Move,Uttarahalli,2,1155.0,2.0,2.0,40.42
Built-up  Area,Ready To Move,Sarjapur  Road,3,1300.0,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Electronic City,2,1100.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Doddathoguru,2,1030.0,2.0,2.0,42.0
Built-up  Area,Ready To Move,Bhoganhalli,3,1700.0,3.0,2.0,126.0
Super built-up  Area,Ready To Move,Jakkur,3,1760.0,3.0,2.0,139.0
Built-up  Area,Ready To Move,Bannerghatta Road,2,912.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Whitefield,2,1102.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Haralur Road,2,1243.0,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Jigani,2,918.0,2.0,2.0,63.2
Super built-up  Area,Ready To Move,Begur Road,3,1500.0,2.0,3.0,70.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,1476.0,3.0,0.0,89.0
Super built-up  Area,18-Apr,Mysore Road,2,1200.0,2.0,3.0,65.0
Super built-up  Area,21-Jun,Vijayanagar,1,606.0,1.0,0.0,34.78
Super built-up  Area,Ready To Move,Garudachar Palya,3,1295.0,2.0,1.0,59.5
Built-up  Area,Ready To Move,Neeladri Nagar,1,527.0,1.0,0.0,26.0
Super built-up  Area,Ready To Move,OMBR Layout,2,1300.0,2.0,2.0,80.0
Built-up  Area,Ready To Move,Koramangala,2,1140.0,2.0,1.0,75.2
Super built-up  Area,18-Dec,Whitefield,3,2321.0,4.0,1.0,128.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1390.0,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1725.0,3.0,3.0,90.0
Super built-up  Area,18-May,Hebbal,4,3067.0,4.0,1.0,310.0
Super built-up  Area,18-Mar,Hennur Road,3,1186.0,2.0,1.0,63.0
Super built-up  Area,18-Dec,Kanakpura Road,2,1230.0,2.0,1.0,85.0
Super built-up  Area,18-Dec,Yeshwanthpur,3,1313.0,3.0,1.0,96.0
Super built-up  Area,Ready To Move,Ambalipura,2,1250.0,2.0,2.0,66.25
Super built-up  Area,19-Dec,Binny Pete,1,660.0,1.0,1.0,54.0
Super built-up  Area,Ready To Move,Basavangudi,2,1036.0,2.0,2.0,105.0
Built-up  Area,Ready To Move,Koramangala,4,2700.0,4.0,3.0,450.0
Super built-up  Area,Ready To Move,Old Madras Road,2,1100.0,2.0,1.0,70.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2,1015.0,2.0,1.0,56.0
Plot  Area,Ready To Move,Gottigere,1,812.0,1.0,0.0,26.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,1274.0,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1151.0,2.0,2.0,39.02
Super built-up  Area,Ready To Move,Banashankari Stage V,2,1035.0,2.0,2.0,35.77
Super built-up  Area,Ready To Move,Kothannur,2,1070.0,2.0,1.0,42.79
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1570.0,2.0,2.0,65.0
Built-up  Area,Ready To Move,Tindlu,7,7500.0,7.0,2.0,400.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,3,1700.0,2.0,3.0,100.0
Super built-up  Area,Ready To Move,Haralur Road,3,1850.0,3.0,2.0,110.0
Built-up  Area,Ready To Move,Kereguddadahalli,2,904.0,2.0,1.0,30.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1385.0,2.0,2.0,58.17
Super built-up  Area,Ready To Move,Sahakara Nagar,2,1270.0,2.0,1.0,69.85
Super built-up  Area,Ready To Move,Kanakpura Road,3,1450.0,3.0,3.0,56.0
Super built-up  Area,Ready To Move,Mahadevpura,1,730.0,1.0,1.0,35.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1580.0,3.0,3.0,53.56
Super built-up  Area,Ready To Move,Thanisandra,2,1111.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Varthur,2,977.0,2.0,2.0,36.0
Plot  Area,Ready To Move,Sarjapur,4,2540.0,4.0,1.0,115.0
Super built-up  Area,17-Dec,Jakkur,2,1290.0,2.0,1.0,100.0
Super built-up  Area,Ready To Move,Abbigere,2,795.0,2.0,1.0,32.54
Super built-up  Area,20-Dec,Kanakpura Road,2,700.0,1.0,1.0,35.0
Built-up  Area,Ready To Move,Vijayanagar,3,1000.0,3.0,0.0,140.0
Plot  Area,Ready To Move,Bommenahalli,4,1670.0,3.0,0.0,135.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1804.0,3.0,2.0,121.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,2065.0,4.0,1.0,210.0
Super built-up  Area,Ready To Move,Hoskote,3,1225.0,3.0,1.0,40.0
Super built-up  Area,18-Nov,Thanisandra,2,1185.5,2.0,0.0,58.68
Super built-up  Area,Ready To Move,Bellandur,2,900.0,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Kaggalipura,1,700.0,1.0,0.0,36.0
Super built-up  Area,18-Jun,Mysore Road,2,1005.0,2.0,0.0,35.175
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2,1160.0,2.0,1.0,46.39
Super built-up  Area,Ready To Move,Hennur Road,3,1680.0,3.0,2.0,99.27
Carpet  Area,Ready To Move,LB Shastri Nagar,2,1043.0,2.0,2.0,55.0
Plot  Area,Ready To Move,Hoskote,4,1200.0,4.0,1.0,120.0
Super built-up  Area,Ready To Move,Hebbal,2,1040.0,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Tindlu,3,1357.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Yelachenahalli,2,1130.0,2.0,2.0,40.0
Carpet  Area,Ready To Move,Sultan Palaya,3,1700.0,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Doddathoguru,3,1549.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2,1400.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1080.0,2.0,2.0,50.0
Built-up  Area,Ready To Move,Ulsoor,2,1180.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Domlur,3,1800.0,3.0,2.0,150.0
Super built-up  Area,18-Aug,Haralur Road,2,1225.0,2.0,1.0,67.38
Super built-up  Area,Ready To Move,Abbigere,2,1005.0,2.0,1.0,39.59
Super built-up  Area,Ready To Move,Whitefield,2,1320.0,2.0,1.0,95.0
Super built-up  Area,18-Dec,Kudlu Gate,3,1707.0,2.0,2.0,99.745
Super built-up  Area,18-Aug,Electronic City,2,1128.0,2.0,1.0,65.35
Super built-up  Area,22-May,Jakkur,2,1452.19,2.0,1.0,100.0
Super built-up  Area,18-Jul,Banashankari,3,2600.0,4.0,1.0,135.0
Super built-up  Area,Ready To Move,Sarakki Nagar,3,2500.0,4.0,2.0,325.0
Built-up  Area,Ready To Move,Sanjay nagar,2,630.0,1.0,1.0,35.0
Super built-up  Area,Ready To Move,Hosa Road,2,1243.0,2.0,2.0,48.5
Built-up  Area,Ready To Move,Whitefield,2,735.0,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Banaswadi,2,1365.0,2.0,2.0,73.0
Super built-up  Area,Ready To Move,Rajaji Nagar,5,2849.0,5.0,0.0,300.0
Super built-up  Area,Ready To Move,Hebbal,2,1420.0,2.0,1.0,99.39
Super built-up  Area,Ready To Move,Somasundara Palya,3,1570.0,3.0,3.0,68.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2,850.0,1.0,1.0,32.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1575.0,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Thigalarapalya,2,1418.0,2.0,2.0,104.0
Super built-up  Area,Ready To Move,Uttarahalli,2,1050.0,2.0,1.0,42.0
Built-up  Area,Ready To Move,Ulsoor,3,1340.0,3.0,0.0,90.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3,1610.0,3.0,2.0,92.0
Built-up  Area,18-Aug,Electronic City Phase II,2,1160.0,2.0,1.0,33.5
Super built-up  Area,Ready To Move,Yelahanka,3,1455.0,3.0,1.0,61.5
Super built-up  Area,18-Jun,Abbigere,1,734.0,1.0,0.0,19.82
Built-up  Area,Ready To Move,Whitefield,3,1896.0,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Ardendale,2,1100.0,2.0,1.0,48.0
Built-up  Area,Ready To Move,Bellandur,2,1350.0,2.0,1.0,79.0
Super built-up  Area,Ready To Move,Cunningham Road,3,3875.0,3.0,2.0,864.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,1493.0,3.0,2.0,82.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,1098.0,2.0,1.0,43.91
Super built-up  Area,Ready To Move,Banashankari,3,1900.0,2.0,1.0,170.0
Super built-up  Area,Ready To Move,Frazer Town,3,2350.0,4.0,3.0,285.0
Plot  Area,Ready To Move,Horamavu Banaswadi,5,1600.0,5.0,3.0,140.0
Super built-up  Area,Ready To Move,Varthur,2,1091.0,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Yelahanka,2,1180.0,2.0,3.0,42.0
Super built-up  Area,19-Dec,Kanakpura Road,2,1366.0,3.0,1.0,76.85
Built-up  Area,Ready To Move,Koramangala,2,1260.0,2.0,3.0,100.0
Plot  Area,Ready To Move,Whitefield,3,3010.0,3.0,2.0,200.0
Plot  Area,Ready To Move,Ramamurthy Nagar,3,1330.0,4.0,1.0,140.0
Super built-up  Area,18-Apr,Whitefield,2,1346.0,2.0,1.0,96.17
Super built-up  Area,18-Aug,Chandapura,1,630.0,1.0,0.0,13.86
Super built-up  Area,19-May,Sarjapur  Road,3,1476.0,2.0,2.0,98.94
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1850.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Electronic City,2,755.0,1.0,1.0,34.0
Super built-up  Area,18-Feb,Whitefield,3,3850.0,5.0,2.0,316.0
Super built-up  Area,18-Jul,Hebbal,4,4235.0,4.0,2.0,365.0
Super built-up  Area,Ready To Move,Vijayanagar,2,1352.0,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Thanisandra,3,2002.0,3.0,2.0,112.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2,1060.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,1419.59,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1196.0,2.0,2.0,51.15
Built-up  Area,18-Dec,Electronic City,3,1220.0,2.0,2.0,35.24
Super built-up  Area,18-Apr,Electronics City Phase 1,3,1595.0,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Banashankari,2,1260.0,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Hebbal,2,1100.0,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Frazer Town,2,1550.0,2.0,2.0,140.0
Plot  Area,18-Dec,Electronic City,4,4000.0,5.0,1.0,150.0
Built-up  Area,Ready To Move,Akshaya Nagar,3,1662.0,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1862.0,3.0,2.0,119.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1419.0,2.0,2.0,48.0
Built-up  Area,14-Nov,Whitefield,3,1410.0,3.0,2.0,43.71
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1560.0,2.0,2.0,62.4
Super built-up  Area,19-Nov,Thanisandra,3,1634.0,3.0,3.0,78.0
Plot  Area,Ready To Move,Ambedkar Nagar,5,5530.0,5.0,3.0,627.0
Built-up  Area,Ready To Move,Whitefield,3,1150.0,2.0,3.0,44.0
Super built-up  Area,19-Mar,Yelahanka,3,1616.0,3.0,1.0,65.0
Super built-up  Area,17-Dec,Nagavarapalya,2,1392.0,2.0,1.0,99.0
Super built-up  Area,19-Dec,Jakkur,3,1798.0,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Babusapalaya,3,1675.0,3.0,3.0,75.0
Super built-up  Area,19-Jun,Hebbal,3,1700.0,3.0,2.0,124.0
Super built-up  Area,Ready To Move,Hulimavu,2,1248.0,2.0,1.0,69.0
Built-up  Area,Ready To Move,Kalkere,2,1147.0,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Sultan Palaya,2,1100.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Vijayanagar,3,1527.0,3.0,2.0,115.0
Super built-up  Area,21-Dec,Kanakpura Road,1,525.0,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Kaggadasapura,2,1100.0,2.0,3.0,58.0
Super built-up  Area,17-Dec,Seegehalli,2,1118.0,2.0,2.0,37.5
Super built-up  Area,20-Dec,Kanakapura,3,1476.0,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Ambalipura,2,1332.0,2.0,1.0,79.0
Super built-up  Area,Ready To Move,Hennur Road,2,1350.0,2.0,3.0,49.0
Super built-up  Area,Ready To Move,NGR Layout,2,1105.0,2.0,2.0,49.73
Super built-up  Area,Ready To Move,Kasavanhalli,2,1200.0,2.0,2.0,50.0
Super built-up  Area,18-Jun,Ramagondanahalli,2,1251.0,2.0,1.0,47.4
Super built-up  Area,Ready To Move,Pai Layout,3,1400.0,2.0,3.0,67.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1800.0,3.0,3.0,260.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,1703.0,3.0,2.0,113.0
Super built-up  Area,Ready To Move,NRI Layout,5,2500.0,5.0,3.0,130.0
Super built-up  Area,Ready To Move,Varthur,3,1250.0,3.0,2.0,71.0
Super built-up  Area,Ready To Move,Jigani,2,933.0,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Brookefield,2,1262.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Yelahanka,2,915.0,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Panathur,3,1370.0,2.0,2.0,61.5
Super built-up  Area,Ready To Move,Malleshpalya,2,1210.0,2.0,3.0,55.0
Super built-up  Area,Ready To Move,Kodihalli,3,2392.0,4.0,2.0,260.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4,3100.0,4.0,2.0,570.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3,1515.0,3.0,3.0,65.0
Plot  Area,19-Dec,Sarjapura - Attibele Road,4,1800.0,4.0,2.0,110.0
Super built-up  Area,Ready To Move,Uttarahalli,3,1300.0,2.0,1.0,55.0
