area_type,availability,location,bhk,total_sqft,bath,balcony,price_per_sqft,price
Super built-up  Area,Ready To Move,Ardendale,3,1750.0,3.0,3.0,5714.285714285715,100.0
Super built-up  Area,Ready To Move,Uttarahalli,3,1425.0,2.0,2.0,4491.228070175439,64.0
Super built-up  Area,Ready To Move,Basavangudi,3,2150.0,3.0,2.0,12325.581395348838,265.0
Super built-up  Area,20-Dec,Whitefield,2,1165.0,2.0,1.0,3476.3948497854076,40.5
Super built-up  Area,Ready To Move,Kaggadasapura,2,1050.0,2.0,2.0,4571.428571428572,48.0
Super built-up  Area,Ready To Move,Cholanayakanahalli,3,1370.0,2.0,2.0,5474.4525547445255,75.0
Super built-up  Area,18-Apr,Electronic City,3,1374.0,2.0,1.0,5240.174672489083,72.0
Super built-up  Area,Ready To Move,Harlur,3,1754.0,3.0,2.0,7069.555302166476,124.0
Super built-up  Area,Ready To Move,Kothanur,3,1847.0,3.0,2.0,5955.603681645913,110.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1850.0,4.0,3.0,7513.513513513513,139.0
Plot  Area,18-May,Chikka Tirupathi,3,3297.0,3.0,1.0,4094.631483166515,135.0
Super built-up  Area,Ready To Move,Doddakannelli,2,1187.0,2.0,2.0,3791.0699241786015,45.0
Built-up  Area,18-Dec,Bommasandra Industrial Area,3,1400.0,2.0,1.0,2888.5714285714284,40.44
Plot  Area,Ready To Move,Kengeri Hobli,3,600.0,2.0,0.0,5000.0,30.0
Super built-up  Area,Ready To Move,Chamrajpet,2,1350.0,2.0,3.0,13333.333333333334,180.0
Plot  Area,Ready To Move,Doddaballapur,3,3000.0,2.0,2.0,4000.0,120.0
Super built-up  Area,21-Dec,Thanisandra,1,693.0,1.0,1.0,4949.494949494949,34.3
Super built-up  Area,21-May,Dairy Circle,3,1980.0,3.0,2.0,11313.131313131313,224.0
Super built-up  Area,Ready To Move,KR Puram,2,1021.0,2.0,1.0,4701.273261508325,48.0
Super built-up  Area,Ready To Move,Thigalarapalya,2,1165.0,2.0,2.0,8154.50643776824,95.0
Super built-up  Area,19-Mar,Horamavu Agara,3,1756.0,3.0,2.0,5239.179954441914,92.0
Super built-up  Area,Ready To Move,Bharathi Nagar,3,1739.0,3.0,1.0,6037.952846463485,105.0
Super built-up  Area,Ready To Move,Varthur,2,1280.0,2.0,2.0,5078.125,65.0
Super built-up  Area,Ready To Move,Marathahalli,2,1215.0,2.0,2.0,4844.444444444444,58.86
Super built-up  Area,18-Apr,Munnekollal,2,950.0,2.0,1.0,4894.736842105263,46.5
Built-up  Area,Ready To Move,Kengeri,3,1082.0,2.0,1.0,4528.650646950093,49.0
Super built-up  Area,Ready To Move,Devanahalli,2,1080.0,2.0,0.0,4939.814814814815,53.35
Super built-up  Area,Ready To Move,Arekere,2,1100.0,2.0,2.0,5000.0,55.0
Plot  Area,Ready To Move,Ardendale,4,3200.0,4.0,1.0,6406.25,205.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1311.0,2.0,1.0,5949.656750572082,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1608.0,3.0,1.0,4227.611940298508,67.98
Super built-up  Area,Ready To Move,Begur Road,2,1160.0,2.0,2.0,3103.448275862069,36.0
Super built-up  Area,Ready To Move,Whitefield,2,1170.0,2.0,1.0,6068.376068376068,71.0
Super built-up  Area,Ready To Move,Kengeri,2,1155.0,2.0,2.0,3515.151515151515,40.6
Super built-up  Area,18-Dec,Hebbal,3,1255.0,2.0,1.0,6189.641434262949,77.68
Super built-up  Area,Ready To Move,Rayasandra,2,1065.0,2.0,2.0,4220.657276995305,44.95
Super built-up  Area,Ready To Move,Neeladri Nagar,1,674.0,1.0,1.0,3115.727002967359,21.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3,1936.0,4.0,2.0,6508.264462809917,126.0
Super built-up  Area,18-Dec,Sarakki Nagar,3,2289.0,3.0,2.0,11358.671909130624,260.0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2,1100.0,2.0,1.0,3495.454545454546,38.45
Super built-up  Area,Ready To Move,Ramagondanahalli,3,2257.0,4.0,2.0,6956.136464333185,157.0
Super built-up  Area,Ready To Move,Nagarbhavi,2,1055.0,2.0,2.0,5213.270142180095,55.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1530.0,3.0,3.0,3390.1960784313724,51.87
Super built-up  Area,Ready To Move,Dinnur,3,1700.0,3.0,1.0,5705.882352941177,97.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1575.0,2.0,2.0,4952.380952380952,78.0
Built-up  Area,Ready To Move,Frazer Town,3,3500.0,4.0,2.0,9428.57142857143,330.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2,1263.0,2.0,1.0,7388.756927949327,93.32
Super built-up  Area,Ready To Move,KR Puram,3,1559.0,3.0,0.0,4446.119307248236,69.315
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,1043.0,2.0,2.0,6232.023010546501,65.0
Super built-up  Area,Ready To Move,Hennur,2,1255.0,2.0,2.0,4262.948207171315,53.5
Super built-up  Area,18-Mar,JP Nagar,2,1352.5,2.0,0.0,6940.110905730129,93.865
Super built-up  Area,18-Dec,Chandapura,1,590.0,1.0,0.0,2300.0,13.57
Plot  Area,Ready To Move,Yelahanka,3,1550.0,3.0,1.0,7741.935483870968,120.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1220.0,3.0,3.0,4590.163934426229,56.0
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3,1900.0,3.0,3.0,8421.052631578947,160.0
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3,1360.0,3.0,3.0,4044.1176470588234,55.0
Built-up  Area,Ready To Move,Vyalikaval,2,1100.0,2.0,1.0,6818.181818181818,75.0
Super built-up  Area,20-Mar,8th Phase JP Nagar,3,1455.0,3.0,2.0,5038.487972508591,73.31
Built-up  Area,Ready To Move,KR Puram,2,1035.0,2.0,1.0,3913.0434782608695,40.5
Super built-up  Area,Ready To Move,Harlur,2,1152.0,2.0,2.0,5989.583333333333,69.0
Super built-up  Area,Ready To Move,Bellandur,2,1299.0,2.0,2.0,6312.548113933795,82.0
Super built-up  Area,Ready To Move,Rachenahalli,2,1050.0,2.0,2.0,5000.0,52.5
Super built-up  Area,Ready To Move,Pai Layout,2,1050.0,2.0,2.0,3809.5238095238096,40.0
Super built-up  Area,Ready To Move,Vittasandra,2,1246.0,2.0,1.0,5409.309791332264,67.4
Built-up  Area,Ready To Move,"Sarjapur Road,",3,1929.0,3.0,2.0,5961.638154484189,115.0
Super built-up  Area,Ready To Move,Hennur,2,1285.0,2.0,1.0,4669.260700389105,60.0
Plot  Area,Ready To Move,Margondanahalli,3,1200.0,2.0,0.0,5416.666666666667,65.0
Built-up  Area,Ready To Move,"Banaswadi,",4,3161.0,4.0,3.0,6770.00949066751,214.0
Built-up  Area,Ready To Move,BTM 2nd Stage,3,1850.0,3.0,2.0,9189.18918918919,170.0
Built-up  Area,Ready To Move,Sompura,3,1025.0,2.0,0.0,3609.756097560976,37.0
Built-up  Area,Ready To Move,Malleshwaram,2,1124.0,3.0,2.0,7117.437722419929,80.0
Super built-up  Area,19-Dec,Balagere,2,1012.0,2.0,1.0,5394.268774703557,54.59
Super built-up  Area,Ready To Move,Giri Nagar,7,4500.0,5.0,3.0,5555.555555555556,250.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,871.0,2.0,2.0,6314.580941446613,55.0
Built-up  Area,Ready To Move,Chinnapanahalli,2,1020.0,2.0,2.0,3921.5686274509803,40.0
Super built-up  Area,Ready To Move,Rachenahalli,3,1550.0,3.0,3.0,4741.935483870968,73.5
Plot  Area,Ready To Move,Anand Nagar,3,3515.0,3.0,1.0,11948.790896159317,420.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3,1410.0,2.0,2.0,5673.758865248227,80.0
Plot  Area,18-Dec,Chikka Tirupathi,4,3500.0,5.0,3.0,4285.714285714285,150.0
Super built-up  Area,18-Apr,Whitefield,2,1118.0,2.0,1.0,6708.4078711985685,75.0
Super built-up  Area,Ready To Move,Thanisandra,2,1098.0,2.0,1.0,6193.078324225865,68.0
Super built-up  Area,Ready To Move,Kanakapura,2,1130.0,2.0,1.0,4000.0,45.2
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1145.0,2.0,2.0,6550.218340611354,75.0
Plot  Area,Ready To Move,Kadugodi,3,950.0,3.0,1.0,8421.052631578947,80.0
Super built-up  Area,Ready To Move,Balaji Gardens Layout,2,1051.0,2.0,1.0,3139.8667935299713,33.0
Plot  Area,Ready To Move,Thavarekere,7,600.0,7.0,2.0,18000.0,108.0
Super built-up  Area,18-Apr,Marathahalli,2,1102.0,2.0,2.0,4870.235934664247,53.67
Super built-up  Area,Ready To Move,Jalahalli,2,1478.0,2.0,2.0,8457.374830852503,125.0
Carpet  Area,18-Dec,Hebbal,2,823.0,2.0,1.0,6151.883353584447,50.63
Super built-up  Area,21-Dec,Abbigere,2,880.0,2.0,1.0,3977.2727272727275,35.0
Built-up  Area,Ready To Move,KR Puram,4,600.0,5.0,2.0,12500.0,75.0
Super built-up  Area,Ready To Move,Budigere,3,1991.0,4.0,2.0,5022.601707684581,100.0
Built-up  Area,Ready To Move,TC Palaya,3,1100.0,3.0,1.0,4545.454545454545,50.0
Super built-up  Area,Ready To Move,Gubbalala,3,1745.0,3.0,2.0,6590.25787965616,115.0
Built-up  Area,17-Sep,HAL 2nd Stage,2,1226.0,3.0,1.0,11011.419249592169,135.0
Plot  Area,Ready To Move,Begur Road,3,680.0,4.0,1.0,10000.0,68.0
Super built-up  Area,Ready To Move,Devarabeesana Halli,2,1100.0,2.0,1.0,6363.636363636364,70.0
Plot  Area,Ready To Move,Banashankari Stage VI,4,1200.0,4.0,3.0,16250.0,195.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1450.0,2.0,1.0,4000.0,58.0
Super built-up  Area,Ready To Move,Singasandra,4,3366.0,4.0,2.0,3565.0623885918003,120.0
Built-up  Area,Ready To Move,Sahakara Nagar,2,1150.0,2.0,1.0,4695.652173913043,54.0
Plot  Area,Ready To Move,Banashankari Stage VI,4,2200.0,4.0,2.0,8863.636363636364,195.0
Built-up  Area,Ready To Move,Bommanahalli,2,1090.0,3.0,2.0,4036.697247706422,44.0
Super built-up  Area,Ready To Move,Kaggadasapura,2,1132.0,2.0,2.0,3710.2473498233217,42.0
Super built-up  Area,Ready To Move,Hulimavu,2,1375.0,2.0,2.0,5818.181818181818,80.0
Plot  Area,Ready To Move,7th Phase JP Nagar,4,1500.0,5.0,3.0,14666.666666666666,220.0
Super built-up  Area,Ready To Move,Thanisandra,1,760.0,1.0,2.0,6618.421052631579,50.3
Super built-up  Area,Ready To Move,Kaggadasapura,2,1180.0,2.0,2.0,5508.474576271186,65.0
Super built-up  Area,Ready To Move,Jigani,2,918.0,2.0,2.0,4901.9607843137255,45.0
Plot  Area,Ready To Move,Rachenahalli,5,600.0,5.0,2.0,8333.333333333334,50.0
Built-up  Area,Ready To Move,Margondanahalli,2,1200.0,1.0,0.0,4416.666666666667,53.0
Plot  Area,Ready To Move,1st Block HRBR Layout,7,2400.0,7.0,3.0,14791.666666666666,355.0
Super built-up  Area,Ready To Move,Ardendale,3,1728.0,3.0,2.0,5497.685185185185,95.0
Super built-up  Area,Ready To Move,Malleshwaram,3,2215.0,3.0,1.0,12415.349887133183,275.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,1200.0,2.0,2.0,6666.666666666667,80.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1280.0,2.0,2.0,4375.0,56.0
Plot  Area,Ready To Move,Hulimavu,4,800.0,4.0,2.0,13750.0,110.0
Super built-up  Area,Ready To Move,Byrasandra,3,1455.0,2.0,2.0,3848.7972508591065,56.0
Super built-up  Area,20-Aug,Rachenahalli,1,440.0,1.0,0.0,6363.636363636364,28.0
Plot  Area,Ready To Move,Kanakpura Road,3,1500.0,3.0,2.0,6466.666666666667,97.0
Super built-up  Area,Ready To Move,Whitefield,3,1800.0,3.0,2.0,6111.111111111111,110.0
Super built-up  Area,Ready To Move,Mysore Road,3,1525.0,3.0,2.0,6295.081967213115,96.0
Super built-up  Area,Ready To Move,Rachenahalli,2,1204.0,2.0,3.0,3197.6744186046512,38.5
Super built-up  Area,19-Dec,Old Madras Road,2,1225.0,2.0,1.0,4371.428571428572,53.55
Built-up  Area,Ready To Move,Kalyan nagar,6,800.0,6.0,3.0,12250.0,98.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1650.0,3.0,2.0,7393.939393939394,122.0
Built-up  Area,Ready To Move,Electronic City,3,880.0,2.0,1.0,2045.4545454545455,18.0
Built-up  Area,Ready To Move,Bikasipura,4,4200.0,4.0,2.0,6071.428571428572,255.0
Plot  Area,Ready To Move,Tippenahalli,2,1200.0,2.0,0.0,4583.333333333333,55.0
Plot  Area,Ready To Move,Sarjapur  Road,4,1152.0,4.0,1.0,19965.277777777777,230.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,1005.0,2.0,1.0,4179.104477611941,42.0
Super built-up  Area,20-Dec,Whitefield,3,1562.0,3.0,2.0,6594.110115236876,103.0
Built-up  Area,Ready To Move,Devanahalli,4,5000.0,5.0,2.0,7900.0,395.0
Plot  Area,Ready To Move,Babusapalaya,6,810.0,5.0,2.0,11728.395061728395,95.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2,1200.0,2.0,3.0,3500.0,42.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,1555.0,3.0,2.0,5305.4662379421225,82.5
Plot  Area,Ready To Move,KR Puram,2,1550.0,2.0,1.0,4580.645161290323,71.0
Super built-up  Area,Ready To Move,Whitefield,2,1190.0,2.0,2.0,5630.252100840336,67.0
Built-up  Area,Ready To Move,Chikkalasandra,2,1070.0,2.0,2.0,4672.897196261682,50.0
Super built-up  Area,Ready To Move,Jalahalli East,2,1020.0,2.0,1.0,4164.705882352941,42.48
Super built-up  Area,Ready To Move,Yelahanka,3,1610.0,3.0,1.0,7142.857142857143,115.0
Super built-up  Area,Ready To Move,Prestige Sunrise,1,700.0,1.0,1.0,5857.142857142857,41.0
Super built-up  Area,Ready To Move,Akshaya Vana,3,1300.0,2.0,1.0,3769.230769230769,49.0
Super built-up  Area,Ready To Move,Hebbal,2,1420.0,2.0,1.0,8661.971830985916,123.0
Plot  Area,Ready To Move,Vidyaranyapura,9,1200.0,9.0,2.0,8333.333333333334,100.0
Carpet  Area,18-Dec,Hebbal,3,1069.0,3.0,2.0,6117.867165575305,65.4
Super built-up  Area,Ready To Move,Marathahalli,3,1900.0,3.0,3.0,6473.684210526316,123.0
Super built-up  Area,18-May,Old Airport Road,2,1655.0,2.0,1.0,5900.302114803625,97.65
Super built-up  Area,Ready To Move,Uttarahalli,2,1155.0,2.0,2.0,3499.5670995670994,40.42
Built-up  Area,Ready To Move,Sarjapur  Road,3,1300.0,2.0,2.0,5384.615384615385,70.0
Super built-up  Area,Ready To Move,Electronic City,2,1100.0,2.0,2.0,4090.909090909091,45.0
Super built-up  Area,Ready To Move,Doddathoguru,2,1030.0,2.0,2.0,4077.669902912621,42.0
Super built-up  Area,Ready To Move,Vittasandra,2,2105.0,2.0,1.0,3334.916864608076,70.2
Built-up  Area,Ready To Move,Bhoganhalli,3,1700.0,3.0,2.0,7411.764705882353,126.0
Super built-up  Area,Ready To Move,Jakkur,3,1760.0,3.0,2.0,7897.727272727273,139.0
Built-up  Area,Ready To Move,Kadugodi,9,6200.0,9.0,0.0,3225.8064516129034,200.0
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2,1400.0,2.0,1.0,4785.714285714285,67.0
Super built-up  Area,Ready To Move,Srigandada Kaval,2,1200.0,2.0,0.0,4416.666666666667,53.0
Built-up  Area,Ready To Move,Bannerghatta Road,2,912.0,2.0,1.0,6030.701754385965,55.0
Super built-up  Area,Ready To Move,Whitefield,2,1102.0,2.0,1.0,4355.716878402904,48.0
Super built-up  Area,Ready To Move,Channasandra Layout,3,1535.0,3.0,1.0,3583.061889250814,55.0
Super built-up  Area,Ready To Move,Haralur Road,2,1243.0,2.0,2.0,3700.7240547063557,46.0
Super built-up  Area,Ready To Move,Jigani,2,918.0,2.0,2.0,6884.531590413943,63.2
Super built-up  Area,Ready To Move,Begur Road,3,1500.0,2.0,3.0,4666.666666666667,70.0
Plot  Area,Ready To Move,Mathikere Extension,3,3000.0,3.0,0.0,8333.333333333334,250.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,1476.0,3.0,0.0,6029.810298102981,89.0
Super built-up  Area,18-Apr,Mysore Road,2,1200.0,2.0,3.0,5416.666666666667,65.0
Super built-up  Area,21-Jun,Vijayanagar,1,606.0,1.0,0.0,5739.273927392739,34.78
Super built-up  Area,Ready To Move,Viswajit Layout,2,1100.0,2.0,3.0,5545.454545454545,61.0
Super built-up  Area,Ready To Move,Garudachar Palya,3,1295.0,2.0,1.0,4594.594594594595,59.5
Built-up  Area,Ready To Move,Neeladri Nagar,1,527.0,1.0,0.0,4933.586337760911,26.0
Super built-up  Area,Ready To Move,OMBR Layout,2,1300.0,2.0,2.0,6153.846153846154,80.0
Plot  Area,Ready To Move,Bommanahalli,3,680.0,4.0,1.0,10000.0,68.0
Plot  Area,Ready To Move,Adityanagar,1,1260.0,1.0,0.0,3253.968253968254,41.0
Built-up  Area,Ready To Move,Koramangala,2,1140.0,2.0,1.0,6596.491228070176,75.2
Plot  Area,Ready To Move,BDS Layout,1,1500.0,1.0,0.0,2500.0,37.5
Super built-up  Area,18-Dec,Whitefield,3,2321.0,4.0,1.0,5514.864282636794,128.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1390.0,2.0,2.0,4460.431654676259,62.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1725.0,3.0,3.0,5217.391304347826,90.0
Super built-up  Area,18-May,Hebbal,4,3067.0,4.0,1.0,10107.597000326052,310.0
Super built-up  Area,18-Mar,Hennur Road,3,1186.0,2.0,1.0,5311.973018549747,63.0
Super built-up  Area,18-Dec,Kanakpura Road,2,1230.0,2.0,1.0,6910.569105691057,85.0
Built-up  Area,Ready To Move,Mysore Highway,1,600.0,1.0,1.0,2833.3333333333335,17.0
Super built-up  Area,18-Dec,Yeshwanthpur,3,1313.0,3.0,1.0,7311.500380807312,96.0
Super built-up  Area,Ready To Move,Ambalipura,2,1250.0,2.0,2.0,5300.0,66.25
Plot  Area,Ready To Move,HBR Layout,9,1200.0,6.0,3.0,23333.333333333332,280.0
Super built-up  Area,19-Dec,Binny Pete,1,660.0,1.0,1.0,8181.818181818182,54.0
Super built-up  Area,Ready To Move,Basavangudi,2,1036.0,2.0,2.0,10135.135135135135,105.0
Built-up  Area,Ready To Move,Koramangala,4,2700.0,4.0,3.0,16666.666666666668,450.0
Super built-up  Area,Ready To Move,Old Madras Road,2,1100.0,2.0,1.0,6363.636363636364,70.0
Plot  Area,Ready To Move,BTM 2nd Stage,4,1500.0,2.0,1.0,30000.0,450.0
Plot  Area,Ready To Move,Singasandra,4,525.0,5.0,2.0,10666.666666666666,56.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2,1015.0,2.0,1.0,5517.241379310345,56.0
Plot  Area,Ready To Move,Gottigere,1,812.0,1.0,0.0,3201.9704433497536,26.0
Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3,1360.0,2.0,2.0,4779.411764705882,65.0
Super built-up  Area,Ready To Move,Nehru Nagar,3,2167.0,3.0,3.0,7844.946931241348,170.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1200.0,2.0,1.0,2916.6666666666665,35.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2,1165.0,2.0,2.0,6437.768240343347,75.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2,1274.0,2.0,2.0,5494.505494505494,70.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1151.0,2.0,2.0,3390.095569070374,39.02
Plot  Area,Ready To Move,Vidyaranyapura,6,1060.0,6.0,3.0,10377.358490566037,110.0
Super built-up  Area,Ready To Move,Thubarahalli,3,1626.0,2.0,2.0,7380.073800738008,120.0
Super built-up  Area,Ready To Move,Banashankari Stage V,2,1035.0,2.0,2.0,3456.038647342996,35.77
Plot  Area,Ready To Move,Shanthi Layout,3,1272.0,4.0,0.0,5896.226415094339,75.0
Built-up  Area,Ready To Move,Jeevan bima nagar,2,965.0,2.0,1.0,4663.21243523316,45.0
Plot  Area,Ready To Move,Esther Enclave Layout,5,1600.0,5.0,2.0,8750.0,140.0
Super built-up  Area,Ready To Move,Kothannur,2,1070.0,2.0,1.0,3999.0654205607475,42.79
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1570.0,2.0,2.0,4140.127388535032,65.0
Super built-up  Area,Ready To Move,Keerthi Layout,2,780.0,2.0,2.0,3205.128205128205,25.0
Super built-up  Area,Ready To Move,Ganga Nagar Extension,3,1000.0,2.0,1.0,6500.0,65.0
Plot  Area,Ready To Move,9th Phase JP Nagar,4,1200.0,3.0,2.0,15666.666666666666,188.0
Built-up  Area,Ready To Move,Tindlu,7,7500.0,7.0,2.0,5333.333333333333,400.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,3,1700.0,2.0,3.0,5882.35294117647,100.0
Super built-up  Area,Ready To Move,Haralur Road,3,1850.0,3.0,2.0,5945.945945945946,110.0
Built-up  Area,Ready To Move,Kereguddadahalli,2,904.0,2.0,1.0,3318.5840707964603,30.0
Super built-up  Area,Ready To Move,Shikaripalya,2,1121.0,2.0,1.0,3900.0892060660126,43.72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1385.0,2.0,2.0,4200.0,58.17
Super built-up  Area,Ready To Move,Sahakara Nagar,2,1270.0,2.0,1.0,5499.999999999999,69.85
Super built-up  Area,Ready To Move,Kanakpura Road,3,1450.0,3.0,3.0,3862.0689655172414,56.0
Plot  Area,Ready To Move,Huttanahalli,3,2400.0,4.0,2.0,13541.666666666666,325.0
Super built-up  Area,Ready To Move,Mahadevpura,1,730.0,1.0,1.0,4794.520547945205,35.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1580.0,3.0,3.0,3389.8734177215188,53.56
Super built-up  Area,Ready To Move,Thanisandra,2,1111.0,2.0,1.0,4500.450045004501,50.0
Plot  Area,Ready To Move,Kengeri,4,1125.0,2.0,1.0,7822.222222222223,88.0
Super built-up  Area,Ready To Move,Varthur,2,977.0,2.0,2.0,3684.74923234391,36.0
Super built-up  Area,18-Dec,Gunjur Palya,2,674.0,1.0,1.0,2952.522255192878,19.9
Plot  Area,18-Apr,Nagarbhavi,3,600.0,3.0,1.0,13833.333333333334,83.0
Plot  Area,Ready To Move,Sarjapur,4,2540.0,4.0,1.0,4527.55905511811,115.0
Super built-up  Area,17-Dec,Jakkur,2,1290.0,2.0,1.0,7751.937984496124,100.0
Plot  Area,Ready To Move,Kumaraswami Layout,3,600.0,3.0,1.0,16333.333333333334,98.0
Super built-up  Area,Ready To Move,Abbigere,2,795.0,2.0,1.0,4093.0817610062895,32.54
Super built-up  Area,20-Dec,Kanakpura Road,2,700.0,1.0,1.0,5000.0,35.0
Built-up  Area,Ready To Move,Ambedkar Colony,2,1463.0,1.0,1.0,9706.083390293916,142.0
Built-up  Area,Ready To Move,Vijayanagar,3,1000.0,3.0,0.0,14000.0,140.0
Super built-up  Area,Ready To Move,Reliable Woods Layout,3,1306.0,2.0,2.0,4441.04134762634,58.0
Super built-up  Area,Ready To Move,4th T block Jayanagar,3,2401.0,3.0,2.0,7705.12286547272,185.0
Plot  Area,Ready To Move,Bommenahalli,4,1670.0,3.0,0.0,8083.832335329342,135.0
Built-up  Area,Ready To Move,Jayanagar,3,1875.0,2.0,3.0,12533.333333333334,235.0
Plot  Area,Ready To Move,Marsur,3,1200.0,3.0,1.0,7500.0,90.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1804.0,3.0,2.0,6707.317073170731,121.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,2065.0,4.0,1.0,10169.49152542373,210.0
Super built-up  Area,Ready To Move,Hoskote,3,1225.0,3.0,1.0,3265.3061224489797,40.0
Super built-up  Area,18-Nov,Thanisandra,2,1185.5,2.0,0.0,4949.810206663855,58.68
Super built-up  Area,Ready To Move,Bellandur,2,900.0,2.0,2.0,6222.222222222223,56.0
Super built-up  Area,19-Dec,Binny Pete,2,1350.0,2.0,1.0,6740.740740740741,91.0
Super built-up  Area,Ready To Move,Kaggalipura,1,700.0,1.0,0.0,5142.857142857143,36.0
Super built-up  Area,18-Jun,Mysore Road,2,1005.0,2.0,0.0,3499.9999999999995,35.175
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2,1160.0,2.0,1.0,3999.137931034483,46.39
Super built-up  Area,Ready To Move,Hennur Road,3,1680.0,3.0,2.0,5908.928571428572,99.27
Carpet  Area,Ready To Move,LB Shastri Nagar,2,1043.0,2.0,2.0,5273.250239693192,55.0
Plot  Area,Ready To Move,Hoskote,4,1200.0,4.0,1.0,10000.0,120.0
Super built-up  Area,Ready To Move,Hebbal,2,1040.0,2.0,2.0,4423.076923076923,46.0
Super built-up  Area,Ready To Move,Tindlu,3,1357.0,2.0,2.0,4789.977892409727,65.0
Plot  Area,Ready To Move,Nayandanahalli,7,1600.0,7.0,1.0,6500.0,104.0
Super built-up  Area,18-Aug,Vibhutipura Extension,2,1225.0,2.0,2.0,3836.734693877551,47.0
Plot  Area,Ready To Move,Sunkadakatte,9,1500.0,6.0,1.0,5333.333333333333,80.0
Super built-up  Area,Ready To Move,Yelachenahalli,2,1130.0,2.0,2.0,3539.8230088495575,40.0
Built-up  Area,Ready To Move,Basavangudi,4,2500.0,4.0,1.0,6000.0,150.0
Carpet  Area,Ready To Move,Sultan Palaya,3,1700.0,3.0,3.0,7058.823529411765,120.0
Super built-up  Area,Ready To Move,Doddathoguru,3,1549.0,3.0,2.0,4196.255648805681,65.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2,1400.0,2.0,2.0,7142.857142857143,100.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,1080.0,2.0,2.0,4629.62962962963,50.0
Built-up  Area,Ready To Move,Ulsoor,2,1180.0,2.0,2.0,8474.57627118644,100.0
Plot  Area,Ready To Move,Chandra Layout,7,780.0,7.0,3.0,19230.76923076923,150.0
Super built-up  Area,Ready To Move,Domlur,3,1800.0,3.0,2.0,8333.333333333334,150.0
Super built-up  Area,18-Aug,Haralur Road,2,1225.0,2.0,1.0,5500.408163265306,67.38
Built-up  Area,Ready To Move,Chandra Layout,1,890.0,1.0,1.0,8426.966292134832,75.0
Super built-up  Area,Ready To Move,Abbigere,2,1005.0,2.0,1.0,3939.303482587065,39.59
Super built-up  Area,Ready To Move,Whitefield,2,1320.0,2.0,1.0,7196.969696969697,95.0
Built-up  Area,Ready To Move,Anandapura,4,1475.0,2.0,1.0,3389.830508474576,50.0
Super built-up  Area,18-Dec,Kudlu Gate,3,1707.0,2.0,2.0,5843.2923257176335,99.745
Super built-up  Area,Ready To Move,Hagadur,2,1110.0,2.0,2.0,4594.594594594595,51.0
Plot  Area,18-Apr,Popular Colony,2,1300.0,2.0,0.0,4153.846153846154,54.0
Plot  Area,Ready To Move,Vajarahalli,5,600.0,3.0,1.0,14333.333333333334,86.0
Super built-up  Area,18-Aug,Electronic City,2,1128.0,2.0,1.0,5793.439716312056,65.35
Super built-up  Area,22-May,Jakkur,2,1452.19,2.0,1.0,6886.151261198604,100.0
Plot  Area,Ready To Move,8th block Koramangala,3,2400.0,3.0,2.0,12083.333333333334,290.0
